epoch	time	train/box_loss	train/cls_loss	train/dfl_loss	metrics/precision(B)	metrics/recall(B)	metrics/mAP50(B)	metrics/mAP50-95(B)	val/box_loss	val/cls_loss	val/dfl_loss	lr/pg0	lr/pg1	lr/pg2
1	2089.2	1.77941	0.85724	1.46756	0.88305	0.75734	0.84082	0.44181	1.89532	0.68872	1.46579	0.0466872	2.00E-05	2.00E-05
2	4085.62	1.7137	0.74798	1.45068	0.88432	0.80397	0.86532	0.43543	1.92589	0.64529	1.4977	0.0433737	3.99E-05	3.99E-05
3	6069.64	1.68744	0.72504	1.43317	0.89159	0.79583	0.86691	0.45596	1.8979	0.66603	1.4789	0.0400601	5.96E-05	5.96E-05
4	8034.66	1.67034	0.71395	1.42941	0.91516	0.81727	0.88128	0.45123	1.90906	0.6463	1.48713	0.0367464	7.92E-05	7.92E-05
5	9995.35	1.64999	0.69916	1.41867	0.90391	0.82195	0.88301	0.47653	1.84019	0.62597	1.4536	0.0334325	9.87E-05	9.87E-05
6	11951.8	1.62921	0.68876	1.40152	0.90892	0.81234	0.87986	0.47281	1.87126	0.62173	1.46271	0.0301185	0.000118007	0.000118007
7	13908.6	1.63258	0.68161	1.39351	0.90987	0.82219	0.88598	0.49011	1.76063	0.59804	1.42366	0.0268044	0.000137211	0.000137211
8	15865.3	1.61425	0.67693	1.39721	0.91211	0.83277	0.89103	0.48114	1.78951	0.59482	1.43737	0.0234902	0.000156282	0.000156282
9	17823.6	1.60576	0.66665	1.38949	0.91572	0.82423	0.88925	0.4908	1.78766	0.58221	1.43418	0.0201758	0.000175221	0.000175221
10	19779.6	1.5997	0.66503	1.38044	0.92253	0.83293	0.89266	0.48534	1.82151	0.58351	1.44995	0.0168612	0.000194027	0.000194027
11	21739.2	1.59587	0.66166	1.39607	0.92105	0.84825	0.90015	0.49098	1.75596	0.57271	1.41242	0.0135466	0.0002127	0.0002127
12	23700.5	1.56891	0.64141	1.38276	0.92345	0.84099	0.89634	0.49872	1.74473	0.56417	1.41331	0.0102318	0.000231241	0.000231241
13	25660.1	1.57824	0.64789	1.38497	0.91099	0.84252	0.89699	0.48426	1.78091	0.56073	1.42801	0.00691685	0.000249649	0.000249649
14	27616.2	1.57201	0.64376	1.37627	0.91969	0.83542	0.89484	0.48768	1.78547	0.56832	1.43591	0.00360179	0.000267924	0.000267924
15	29572.4	1.56108	0.63715	1.37172	0.91979	0.84955	0.90097	0.48951	1.8017	0.5689	1.44071	0.000286602	0.000286067	0.000286067
16	31526.9	1.56308	0.63329	1.37292	0.90706	0.85522	0.90169	0.49349	1.7726	0.56464	1.41895	0.000285075	0.000285075	0.000285075
17	33480.9	1.54488	0.62074	1.36213	0.91598	0.84886	0.90114	0.49297	1.7452	0.56386	1.41008	0.00028408	0.00028408	0.00028408
18	35435.5	1.54665	0.61947	1.36184	0.91408	0.85813	0.90497	0.49715	1.75348	0.55876	1.40936	0.000283085	0.000283085	0.000283085
19	37391.3	1.55051	0.61835	1.36037	0.91515	0.8643	0.90761	0.50307	1.72058	0.55133	1.39905	0.00028209	0.00028209	0.00028209
20	39351.7	1.53845	0.60167	1.36275	0.91351	0.85802	0.90502	0.50195	1.7368	0.54778	1.40995	0.000281095	0.000281095	0.000281095
21	41310.5	1.51737	0.59566	1.34728	0.91725	0.85127	0.90257	0.48857	nan	nan	nan	0.0002801	0.0002801	0.0002801
22	43273.2	1.51429	0.59529	1.34399	0.91644	0.86038	0.90566	0.49824	1.75803	0.54969	1.42049	0.000279105	0.000279105	0.000279105
23	45228.8	1.50674	0.58897	1.33966	0.9184	0.86278	0.90835	0.50358	1.73281	0.54149	1.39899	0.00027811	0.00027811	0.00027811
24	47181.9	1.51694	0.59157	1.34257	0.9298	0.85799	0.90782	0.51356	1.70794	0.53286	1.39821	0.000277115	0.000277115	0.000277115
25	49135.9	1.5008	0.58262	1.3323	0.92163	0.84966	0.90258	0.50716	1.71429	0.63648	1.3967	0.00027612	0.00027612	0.00027612
26	51091.4	1.52271	0.59419	1.35158	0.92518	0.85846	0.90747	0.51705	1.68409	0.52814	1.38098	0.000275125	0.000275125	0.000275125
27	1995.02	1.63508	1.58994	1.56268	0.9225	0.84833	0.90063	0.48024	1.82347	0.5962	1.4745	0.00027413	0.00027413	0.00027413
28	4160.88	1.52816	0.61156	1.36073	0.91988	0.85324	0.9031	0.49374	nan	nan	nan	0.000273135	0.000273135	0.000273135
29	6221.92	1.51466	0.60153	1.35105	0.92406	0.85323	0.90595	0.5045	nan	nan	nan	0.00027214	0.00027214	0.00027214
30	8555.07	1.50462	0.59807	1.35113	0.85743	0.83081	0.8185	0.46105	nan	nan	nan	0.000271145	0.000271145	0.000271145
31	10751.2	1.50176	0.58904	1.34951	0.92216	0.8453	0.90004	0.50958	nan	nan	nan	0.00027015	0.00027015	0.00027015
32	12951.9	1.48858	0.57583	1.32957	0.92058	0.85681	0.9035	0.5151	nan	nan	nan	0.000269155	0.000269155	0.000269155
33	14915.9	1.48432	0.57416	1.32033	0.91816	0.86174	0.89376	0.50471	1.70021	0.54706	1.39978	0.00026816	0.00026816	0.00026816
34	17295.4	1.47835	0.57108	1.32744	0.93191	0.84345	0.90059	0.51808	nan	nan	nan	0.000267165	0.000267165	0.000267165
35	19713.1	1.4759	0.56534	1.3283	0.92681	0.85371	0.90514	0.51997	nan	nan	nan	0.00026617	0.00026617	0.00026617
36	21961.6	1.46553	0.55986	1.31548	0.92486	0.86324	0.90999	0.52234	1.67001	0.51457	1.38894	0.000265175	0.000265175	0.000265175
37	24335.5	1.47308	0.55636	1.33228	0.92597	0.8642	0.9099	0.51812	nan	nan	nan	0.00026418	0.00026418	0.00026418
38	26501.7	1.45521	0.55806	1.32319	0.92932	0.86084	0.90889	0.52384	nan	nan	nan	0.000263185	0.000263185	0.000263185
39	28771.7	1.46073	0.55318	1.32598	0.93342	0.86327	0.9105	0.5231	nan	nan	nan	0.00026219	0.00026219	0.00026219
40	31083.4	1.46558	0.55992	1.32151	0.9332	0.86073	0.90991	0.52348	nan	nan	nan	0.000261195	0.000261195	0.000261195
41	33473.1	1.44438	0.55561	1.31216	0.92854	0.86087	0.90938	0.52813	nan	nan	nan	0.0002602	0.0002602	0.0002602
42	35751.4	1.46011	0.55513	1.31787	0.92655	0.86257	0.91019	0.5283	nan	nan	nan	0.000259205	0.000259205	0.000259205
